Identified Proteins (934),Accession Number,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,C_D2,Gpool_D2,C_D21,Gpool_D21,C_D42,Gpool_D42,Ves_C_D42,Ves_G_D42
Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2,Q86VP6,136 kDa,,unknown,0,4,10,17,4,2,67,30
Ig heavy chain V-III region BRO OS=Homo sapiens PE=1 SV=1,P01766,13 kDa,TRUE,unknown,20,15,12,14,16,15,14,39
Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2,P27824,68 kDa,TRUE,unknown,22,25,18,32,19,29,0,0
Membrane transport protein XK OS=Homo sapiens GN=XK PE=1 SV=5,P51811,51 kDa,,unknown,22,20,21,16,30,25,0,0
Titin OS=Homo sapiens GN=TTN PE=1 SV=4,Q8WZ42,3816 kDa,TRUE,unknown,2,0,0,0,0,0,0,0
Methyltransferase-like protein 7A OS=Homo sapiens GN=METTL7A PE=1 SV=1,Q9H8H3,28 kDa,,unknown,17,34,13,30,13,21,0,0
Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1,P25786,30 kDa,,unknown,3,28,32,41,4,13,0,4
Guanine nucleotide-binding protein G(q) subunit alpha OS=Homo sapiens GN=GNAQ PE=1 SV=4,P50148,42 kDa,TRUE,unknown,17,32,18,34,19,29,0,3
Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,P68104,50 kDa,,unknown,32,25,9,12,10,10,8,4
Ecto-ADP-ribosyltransferase 4 OS=Homo sapiens GN=ART4 PE=2 SV=2,Q93070,36 kDa,,unknown,19,17,13,11,16,15,29,18
Proteasome subunit beta type-3 OS=Homo sapiens GN=PSMB3 PE=1 SV=2,P49720,23 kDa,,unknown,6,25,33,43,10,12,0,3
Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,P30040,29 kDa,,unknown,22,23,23,25,17,16,0,0
Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1,P31948,63 kDa,,unknown,0,0,0,9,0,0,52,75
Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,O75131,60 kDa,,unknown,8,15,39,28,24,14,2,4
Ras-related protein Rab-8B OS=Homo sapiens GN=RAB8B PE=1 SV=2,Q92930,24 kDa,TRUE,unknown,60,68,42,61,51,49,0,21
Phospholipid scramblase 4 OS=Homo sapiens GN=PLSCR4 PE=1 SV=2,Q9NRQ2,37 kDa,,unknown,16,18,22,15,19,18,9,2
Junctional adhesion molecule A OS=Homo sapiens GN=F11R PE=1 SV=1,Q9Y624,33 kDa,,unknown,18,21,14,17,10,18,1,3
Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1,O14818,28 kDa,,unknown,8,26,38,47,5,11,1,2
Ras-related protein Rab-7a OS=Homo sapiens GN=RAB7A PE=1 SV=1,P51149,23 kDa,TRUE,unknown,19,22,22,18,24,23,5,12
Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,P08754,41 kDa,TRUE,unknown,36,56,53,46,51,46,44,15
Alpha-soluble NSF attachment protein OS=Homo sapiens GN=NAPA PE=1 SV=3,P54920,33 kDa,,unknown,10,8,9,12,19,14,35,39
TBC1 domain family member 24 OS=Homo sapiens GN=TBC1D24 PE=1 SV=2,Q9ULP9,63 kDa,,unknown,6,0,8,4,17,11,48,16
Ras-related protein Rab-5B OS=Homo sapiens GN=RAB5B PE=1 SV=1,P61020,24 kDa,TRUE,unknown,28,33,30,25,37,33,6,5
Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3,Q15149,532 kDa,TRUE,unknown,0,0,0,0,0,0,4,3
Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1,P60900,27 kDa,,unknown,0,28,35,45,4,17,2,0
Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,P07900,85 kDa,TRUE,unknown,0,0,11,23,0,0,39,61
Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1,P49721,23 kDa,,unknown,6,19,34,37,6,14,0,5
Ig kappa chain V-I region WEA OS=Homo sapiens PE=1 SV=1,P01610,12 kDa,TRUE,unknown,12,0,0,0,10,0,0,0
Small VCP/p97-interacting protein OS=Homo sapiens GN=SVIP PE=3 SV=1,Q8NHG7,8 kDa,TRUE,unknown,23,14,16,15,15,16,16,21
Adenylate kinase isoenzyme 1 OS=Homo sapiens GN=AK1 PE=1 SV=3,P00568,22 kDa,TRUE,unknown,0,2,0,4,0,5,66,48
Syntaxin-7 OS=Homo sapiens GN=STX7 PE=1 SV=4,O15400,30 kDa,,unknown,30,26,18,19,9,15,3,4
Hsc70-interacting protein OS=Homo sapiens GN=ST13 PE=1 SV=2,P50502,41 kDa,,unknown,0,3,7,10,0,3,47,48
Programmed cell death 6-interacting protein OS=Homo sapiens GN=PDCD6IP PE=1 SV=1,Q8WUM4,96 kDa,,unknown,0,0,0,0,0,0,37,78
F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3,P52907,33 kDa,TRUE,unknown,10,12,16,11,20,25,0,0
Small membrane A-kinase anchor protein OS=Homo sapiens GN=C2orf88 PE=1 SV=2,Q9BSF0,11 kDa,,unknown,18,25,17,22,17,25,0,0
Mannose-P-dolichol utilization defect 1 protein OS=Homo sapiens GN=MPDU1 PE=1 SV=2,O75352,27 kDa,TRUE,unknown,25,22,16,11,15,19,0,0
Multidrug resistance-associated protein 4 OS=Homo sapiens GN=ABCC4 PE=1 SV=3,O15439,150 kDa,,unknown,22,24,22,18,20,18,0,0
14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1,P62258,29 kDa,TRUE,unknown,7,12,17,16,12,13,27,21
Ras-related protein Rab-18 OS=Homo sapiens GN=RAB18 PE=1 SV=1,Q9NP72,23 kDa,TRUE,unknown,22,33,23,14,20,17,0,0
Multiple inositol polyphosphate phosphatase 1 OS=Homo sapiens GN=MINPP1 PE=1 SV=1,Q9UNW1,55 kDa,,unknown,11,25,18,21,15,16,0,0
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Homo sapiens GN=PIN4 PE=1 SV=1,Q9Y237,14 kDa,,unknown,15,23,16,19,16,18,0,0
Phospholipid hydroperoxide glutathione peroxidase mitochondrial OS=Homo sapiens GN=GPX4 PE=1 SV=3,P36969,22 kDa,,unknown,14,16,12,8,18,15,0,0
Ig kappa chain V-IV region JI OS=Homo sapiens PE=4 SV=1,P06313,15 kDa,TRUE,unknown,10,7,10,3,0,0,14,27
N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Homo sapiens GN=NTMT1 PE=1 SV=3,Q9BV86,25 kDa,,unknown,9,8,5,7,13,10,12,10
Radixin OS=Homo sapiens GN=RDX PE=1 SV=1,P35241,69 kDa,TRUE,unknown,0,0,1,8,0,0,86,90
Annexin A11 OS=Homo sapiens GN=ANXA11 PE=1 SV=1,P50995,54 kDa,,unknown,11,19,27,20,20,22,0,3
AP-2 complex subunit sigma OS=Homo sapiens GN=AP2S1 PE=1 SV=2,P53680,17 kDa,,unknown,25,20,24,20,16,17,0,0
Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3,P28066,26 kDa,,unknown,0,29,35,42,3,6,0,0
Aldehyde dehydrogenase family 16 member A1 OS=Homo sapiens GN=ALDH16A1 PE=1 SV=2,Q8IZ83,85 kDa,,unknown,6,9,23,25,15,20,4,10
Gelsolin OS=Homo sapiens GN=GSN PE=1 SV=1,P06396,86 kDa,,unknown,8,9,21,13,23,22,0,9
Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1,Q06830,22 kDa,TRUE,unknown,0,0,20,22,7,6,59,68
Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1,O75340,22 kDa,,unknown,9,13,17,20,19,10,4,16
Synaptosomal-associated protein 23 OS=Homo sapiens GN=SNAP23 PE=1 SV=1,O00161,23 kDa,,unknown,24,13,19,11,20,17,0,0
Complement C1q subcomponent subunit C OS=Homo sapiens GN=C1QC PE=1 SV=3,P02747,26 kDa,,unknown,18,19,8,9,13,13,2,26
Transmembrane protein 14C OS=Homo sapiens GN=TMEM14C PE=1 SV=1,Q9P0S9,12 kDa,,unknown,17,17,17,13,15,17,0,0
Vesicle transport protein SEC20 OS=Homo sapiens GN=BNIP1 PE=1 SV=3,Q12981,26 kDa,,unknown,13,16,18,13,16,19,0,0
Transmembrane emp24 domain-containing protein 10 OS=Homo sapiens GN=TMED10 PE=1 SV=2,P49755,25 kDa,,unknown,17,19,19,20,18,20,0,0
Metallo-beta-lactamase domain-containing protein 2 OS=Homo sapiens GN=MBLAC2 PE=1 SV=3,Q68D91,31 kDa,TRUE,unknown,21,15,16,15,19,18,0,0
Protein THEM6 OS=Homo sapiens GN=THEM6 PE=1 SV=2,Q8WUY1,24 kDa,,unknown,20,22,20,12,16,25,0,0
Lymphocyte function-associated antigen 3 OS=Homo sapiens GN=CD58 PE=1 SV=1,P19256,28 kDa,TRUE,unknown,11,15,8,10,7,14,14,8
Q8WZ42-DECOY,Q8WZ42-DECOY,?,TRUE,unknown,2,0,0,0,0,0,0,0
Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1,P11233,24 kDa,TRUE,unknown,42,45,40,48,33,40,0,0
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Homo sapiens GN=GNG2 PE=1 SV=2,P59768,8 kDa,,unknown,17,15,18,16,17,17,4,6
Hydroxyacylglutathione hydrolase mitochondrial OS=Homo sapiens GN=HAGH PE=1 SV=2,Q16775,34 kDa,,unknown,14,21,13,14,24,27,6,3
Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1,Q00688,25 kDa,,unknown,14,23,10,25,14,17,0,0
Phosphatidylinositol 4-kinase type 2-alpha OS=Homo sapiens GN=PI4K2A PE=1 SV=1,Q9BTU6,54 kDa,,unknown,17,23,21,17,17,19,0,0
Complement factor D OS=Homo sapiens GN=CFD PE=1 SV=5,P00746,27 kDa,,unknown,0,0,0,2,0,3,0,0
UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens GN=UGGT1 PE=1 SV=3,Q9NYU2,177 kDa,,unknown,18,23,11,19,13,11,0,0
Spectrin beta chain non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2,Q01082,275 kDa,TRUE,unknown,18,0,19,0,0,0,0,0
Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2,P00352,55 kDa,,unknown,0,0,4,7,0,0,58,44
Long-chain-fatty-acid--CoA ligase 6 OS=Homo sapiens GN=ACSL6 PE=2 SV=4,Q9UKU0,78 kDa,,unknown,23,20,13,22,12,12,0,0
Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2,P81605,11 kDa,,unknown,11,12,13,12,11,9,7,6
Syntaxin-4 OS=Homo sapiens GN=STX4 PE=1 SV=2,Q12846,34 kDa,,unknown,17,12,13,10,16,11,2,3
Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2,P00747,91 kDa,,unknown,9,9,8,5,5,2,2,18
Ig kappa chain V-II region TEW OS=Homo sapiens PE=1 SV=1,P01617,12 kDa,TRUE,unknown,10,6,10,0,11,3,0,16
Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4,P28070,29 kDa,,unknown,3,16,23,28,5,9,2,5
Ficolin-2 OS=Homo sapiens GN=FCN2 PE=1 SV=2,Q15485,34 kDa,TRUE,unknown,0,0,0,0,0,0,14,79
Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2,P25788,28 kDa,,unknown,0,20,29,37,0,7,1,0
Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1,Q99436,30 kDa,,unknown,0,23,26,45,0,7,0,0
Transmembrane protein 222 OS=Homo sapiens GN=TMEM222 PE=1 SV=2,Q9H0R3,23 kDa,,unknown,17,17,19,20,15,20,0,0
Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,P14625,92 kDa,TRUE,unknown,13,15,15,17,10,19,0,0
Retinoic acid receptor responder protein 2 OS=Homo sapiens GN=RARRES2 PE=1 SV=1,Q99969,19 kDa,,unknown,19,18,20,11,12,18,0,0
Calcium-binding protein 39 OS=Homo sapiens GN=CAB39 PE=1 SV=1,Q9Y376,40 kDa,TRUE,unknown,12,10,12,12,12,9,1,5
Ig kappa chain V-I region DEE OS=Homo sapiens PE=1 SV=1,P01597,12 kDa,TRUE,unknown,1,0,0,0,0,0,0,0
Ig heavy chain V-I region SIE OS=Homo sapiens PE=1 SV=1,P01761,14 kDa,,unknown,0,0,4,0,0,0,0,0
AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2,Q96CW1,50 kDa,,unknown,16,15,17,15,11,13,3,0
Small integral membrane protein 5 OS=Homo sapiens GN=SMIM5 PE=4 SV=2,Q71RC9,9 kDa,,unknown,24,20,21,20,9,8,0,0
Keratin type II cuticular Hb3 OS=Homo sapiens GN=KRT83 PE=1 SV=2,P78385,54 kDa,TRUE,unknown,0,54,0,0,0,19,30,3
ATP-dependent 6-phosphofructokinase muscle type OS=Homo sapiens GN=PFKM PE=1 SV=2,P08237,85 kDa,TRUE,unknown,2,9,18,22,18,22,0,0
Neuropathy target esterase OS=Homo sapiens GN=PNPLA6 PE=1 SV=2,Q8IY17,150 kDa,,unknown,13,21,10,19,9,16,0,0
Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1,P25789,29 kDa,,unknown,4,17,22,39,3,9,0,0
Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2,P00491,32 kDa,,unknown,0,0,0,3,0,0,46,38
Ras-related protein Rab-2B OS=Homo sapiens GN=RAB2B PE=1 SV=1,Q8WUD1,24 kDa,TRUE,unknown,16,12,13,17,14,15,4,7
von Willebrand factor OS=Homo sapiens GN=VWF PE=1 SV=4,P04275,309 kDa,TRUE,unknown,0,0,0,0,0,0,22,57
Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1,Q9BS26,47 kDa,,unknown,14,13,13,14,19,8,0,0
Membrane-associated progesterone receptor component 2 OS=Homo sapiens GN=PGRMC2 PE=1 SV=1,O15173,24 kDa,TRUE,unknown,11,17,10,17,13,15,0,0
P35527-DECOY,P35527-DECOY,?,,unknown,0,0,0,0,0,0,2,1
Solute carrier family 43 member 3 OS=Homo sapiens GN=SLC43A3 PE=1 SV=2,Q8NBI5,55 kDa,,unknown,6,7,11,9,7,5,0,0
Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3,O95292,27 kDa,TRUE,unknown,14,10,18,15,14,10,0,0
Platelet basic protein OS=Homo sapiens GN=PPBP PE=1 SV=3,P02775,14 kDa,,unknown,18,19,18,13,13,12,0,0
Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4,P28072,25 kDa,,unknown,3,13,16,22,4,5,0,2
Ankyrin-2 OS=Homo sapiens GN=ANK2 PE=1 SV=4,Q01484,434 kDa,TRUE,unknown,0,0,31,0,0,0,0,0
Ras-related protein Rap-2a OS=Homo sapiens GN=RAP2A PE=1 SV=1,P10114,21 kDa,TRUE,unknown,52,52,39,44,36,45,0,20
Proteasome activator complex subunit 1 OS=Homo sapiens GN=PSME1 PE=1 SV=1,Q06323,29 kDa,TRUE,unknown,0,16,20,30,4,9,0,0
Filaggrin-2 OS=Homo sapiens GN=FLG2 PE=1 SV=1,Q5D862,248 kDa,,unknown,0,8,0,6,11,6,10,5
Ig mu heavy chain disease protein OS=Homo sapiens PE=1 SV=1,P04220,43 kDa,TRUE,unknown,0,0,0,0,0,0,81,172
Neutral alpha-glucosidase AB OS=Homo sapiens GN=GANAB PE=1 SV=3,Q14697,107 kDa,,unknown,11,12,12,14,10,14,0,0
Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,P62937,18 kDa,TRUE,unknown,0,5,3,0,5,5,27,27
Ras-related protein Rab-1B OS=Homo sapiens GN=RAB1B PE=1 SV=1,Q9H0U4,22 kDa,TRUE,unknown,20,24,31,32,32,32,51,65
Galectin-9 OS=Homo sapiens GN=LGALS9 PE=1 SV=2,O00182,40 kDa,,unknown,10,11,12,13,9,12,0,4
Copper-transporting ATPase 1 OS=Homo sapiens GN=ATP7A PE=1 SV=3,Q04656,163 kDa,,unknown,5,5,0,7,4,5,41,11
Calcium and integrin-binding protein 1 OS=Homo sapiens GN=CIB1 PE=1 SV=4,Q99828,22 kDa,,unknown,9,14,12,12,10,17,0,1
Ig kappa chain V-III region VG (Fragment) OS=Homo sapiens PE=1 SV=1,P04433,13 kDa,TRUE,unknown,0,5,3,0,0,0,0,8
Protein Shroom3 OS=Homo sapiens GN=SHROOM3 PE=1 SV=2,Q8TF72,217 kDa,,unknown,0,0,0,0,0,0,4,0
Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1,Q12907,40 kDa,,unknown,5,11,15,12,12,14,0,0
Protein disulfide-isomerase A6 OS=Homo sapiens GN=PDIA6 PE=1 SV=1,Q15084,48 kDa,,unknown,13,10,12,14,10,14,0,0
Blood group Rh(D) polypeptide OS=Homo sapiens GN=RHD PE=1 SV=3,Q02161,45 kDa,TRUE,unknown,48,30,28,25,43,22,0,0
Proteolipid protein 2 OS=Homo sapiens GN=PLP2 PE=1 SV=1,Q04941,17 kDa,TRUE,unknown,14,17,14,17,12,13,0,0
Ankyrin-3 OS=Homo sapiens GN=ANK3 PE=1 SV=3,Q12955,480 kDa,TRUE,unknown,0,0,36,22,0,19,0,0
Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2,Q562R1,42 kDa,TRUE,unknown,70,79,89,77,92,90,0,0
C2 domain-containing protein 2-like OS=Homo sapiens GN=C2CD2L PE=1 SV=3,O14523,76 kDa,,unknown,4,5,5,5,6,2,0,0
T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3,P40227,58 kDa,,unknown,0,8,12,30,2,10,0,0
Band 4.1-like protein 2 OS=Homo sapiens GN=EPB41L2 PE=1 SV=1,O43491,113 kDa,TRUE,unknown,0,3,0,0,0,0,20,22
Complement C1q subcomponent subunit B OS=Homo sapiens GN=C1QB PE=1 SV=3,P02746,27 kDa,,unknown,8,11,2,5,7,7,0,25
Golgin subfamily A member 7 OS=Homo sapiens GN=GOLGA7 PE=1 SV=2,Q7Z5G4,16 kDa,,unknown,13,14,13,10,7,10,0,0
Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1,P26447,12 kDa,,unknown,0,7,12,8,9,6,21,11
Acylamino-acid-releasing enzyme OS=Homo sapiens GN=APEH PE=1 SV=4,P13798,81 kDa,,unknown,0,0,10,11,0,0,26,16
BAG family molecular chaperone regulator 2 OS=Homo sapiens GN=BAG2 PE=1 SV=1,O95816,24 kDa,,unknown,14,13,14,11,18,12,0,0
Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2,P02786,85 kDa,,unknown,0,0,0,0,0,0,36,42
EH domain-containing protein 1 OS=Homo sapiens GN=EHD1 PE=1 SV=2,Q9H4M9,61 kDa,TRUE,unknown,1,0,0,0,0,3,4,6
Keratin type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4,P13646,50 kDa,TRUE,unknown,11,33,32,26,9,20,0,0
Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1,P07384,82 kDa,,unknown,13,8,7,21,2,0,16,9
Hemopexin OS=Homo sapiens GN=HPX PE=1 SV=2,P02790,52 kDa,,unknown,0,0,0,0,0,0,20,51
Ig lambda chain V-II region TRO OS=Homo sapiens PE=1 SV=1,P01707,12 kDa,,unknown,6,6,7,5,3,3,0,16
Apolipoprotein C-I OS=Homo sapiens GN=APOC1 PE=1 SV=1,P02654,9 kDa,,unknown,6,8,14,10,14,16,0,0
26S protease regulatory subunit 7 OS=Homo sapiens GN=PSMC2 PE=1 SV=3,P35998,49 kDa,,unknown,0,17,19,36,0,0,0,0
GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3,P62826,24 kDa,,unknown,0,0,0,0,0,0,27,27
Phosphatidylinositide phosphatase SAC1 OS=Homo sapiens GN=SACM1L PE=1 SV=2,Q9NTJ5,67 kDa,,unknown,6,8,13,7,11,13,0,0
Keratin type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4,P19013,57 kDa,TRUE,unknown,5,42,14,23,11,5,18,13
26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3,P17980,49 kDa,TRUE,unknown,0,16,21,24,0,7,6,0
Ig heavy chain V-III region VH26 OS=Homo sapiens PE=1 SV=1,P01764,13 kDa,TRUE,unknown,0,2,0,0,0,0,10,21
Ig kappa chain V-IV region Len OS=Homo sapiens PE=1 SV=2,P01625,13 kDa,TRUE,unknown,0,6,0,0,2,0,1,10
Thioredoxin domain-containing protein 5 OS=Homo sapiens GN=TXNDC5 PE=1 SV=2,Q8NBS9,48 kDa,,unknown,9,11,12,10,10,17,0,0
Fructosamine-3-kinase OS=Homo sapiens GN=FN3K PE=1 SV=1,Q9H479,35 kDa,TRUE,unknown,4,11,9,13,13,15,0,0
Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=3,Q92614,233 kDa,TRUE,unknown,0,0,0,1,0,0,0,0
Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2,Q13492,71 kDa,,unknown,10,10,10,9,7,8,0,0
Proteasome activator complex subunit 2 OS=Homo sapiens GN=PSME2 PE=1 SV=4,Q9UL46,27 kDa,TRUE,unknown,0,12,18,29,0,3,1,0
Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,P04083,39 kDa,,unknown,6,10,13,10,18,13,0,0
Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1,P22392,17 kDa,TRUE,unknown,0,0,0,0,0,0,18,25
Transmembrane protein 50A OS=Homo sapiens GN=TMEM50A PE=1 SV=1,O95807,17 kDa,,unknown,5,3,4,5,5,4,0,0
Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1,P06703,10 kDa,,unknown,8,4,6,0,4,0,22,22
Ig kappa chain V-III region CLL OS=Homo sapiens PE=1 SV=2,P04207,14 kDa,TRUE,unknown,4,2,0,0,2,2,1,8
Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3,P60174,31 kDa,,unknown,0,0,0,0,0,0,31,33
Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3,P15924,332 kDa,TRUE,unknown,0,3,0,0,19,0,18,3
Charged multivesicular body protein 6 OS=Homo sapiens GN=CHMP6 PE=1 SV=3,Q96FZ7,23 kDa,,unknown,15,9,4,7,9,11,3,0
Transmembrane protein 50B OS=Homo sapiens GN=TMEM50B PE=1 SV=2,P56557,18 kDa,,unknown,8,8,10,11,9,7,0,0
Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,P06733,47 kDa,TRUE,unknown,0,0,0,0,0,0,35,22
26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3,O00231,47 kDa,,unknown,0,12,19,32,0,0,0,0
Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2,P09972,39 kDa,TRUE,unknown,0,21,2,21,0,0,0,0
Immediate early response 3-interacting protein 1 OS=Homo sapiens GN=IER3IP1 PE=1 SV=1,Q9Y5U9,9 kDa,,unknown,11,11,10,7,6,9,0,0
Protein DJ-1 OS=Homo sapiens GN=PARK7 PE=1 SV=2,Q99497,20 kDa,,unknown,0,0,0,0,0,0,30,31
26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1,P62191,49 kDa,TRUE,unknown,0,16,13,31,0,0,0,0
Vesicle transport protein GOT1B OS=Homo sapiens GN=GOLT1B PE=1 SV=1,Q9Y3E0,15 kDa,,unknown,3,0,4,9,7,5,0,0
Glutathione S-transferase omega-1 OS=Homo sapiens GN=GSTO1 PE=1 SV=2,P78417,28 kDa,TRUE,unknown,0,0,0,0,0,0,37,19
Protein lifeguard 3 OS=Homo sapiens GN=TMBIM1 PE=1 SV=2,Q969X1,35 kDa,,unknown,5,0,3,5,7,5,0,0
RELT-like protein 1 OS=Homo sapiens GN=RELL1 PE=1 SV=1,Q8IUW5,29 kDa,,unknown,9,12,6,7,5,4,0,0
Ras-related protein Rab-14 OS=Homo sapiens GN=RAB14 PE=1 SV=4,P61106,24 kDa,TRUE,unknown,14,19,17,13,10,12,0,17
Bisphosphoglycerate mutase OS=Homo sapiens GN=BPGM PE=1 SV=2,P07738,30 kDa,,unknown,0,0,0,1,0,0,26,17
26S protease regulatory subunit 8 OS=Homo sapiens GN=PSMC5 PE=1 SV=1,P62195,46 kDa,TRUE,unknown,0,10,12,37,0,2,0,0
Malignant T-cell-amplified sequence 1 OS=Homo sapiens GN=MCTS1 PE=1 SV=1,Q9ULC4,21 kDa,,unknown,13,8,4,8,11,12,0,4
Interferon-induced protein with tetratricopeptide repeats 5 OS=Homo sapiens GN=IFIT5 PE=1 SV=1,Q13325,56 kDa,,unknown,7,6,11,9,9,8,0,0
Nebulin OS=Homo sapiens GN=NEB PE=1 SV=5,P20929,773 kDa,,unknown,0,1,0,0,0,0,0,0
Obg-like ATPase 1 OS=Homo sapiens GN=OLA1 PE=1 SV=2,Q9NTK5,45 kDa,,unknown,0,3,4,2,11,11,20,10
Thioredoxin-related transmembrane protein 1 OS=Homo sapiens GN=TMX1 PE=1 SV=1,Q9H3N1,32 kDa,,unknown,12,10,7,7,10,8,0,0
F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3,P47755,33 kDa,TRUE,unknown,12,9,11,5,17,19,0,0
Q8NF91-DECOY,Q8NF91-DECOY,?,TRUE,unknown,0,0,0,0,0,2,0,0
Protein GUCD1 OS=Homo sapiens GN=GUCD1 PE=2 SV=2,Q96NT3,27 kDa,TRUE,unknown,10,6,11,8,8,6,0,0
Translocon-associated protein subunit delta OS=Homo sapiens GN=SSR4 PE=1 SV=1,P51571,19 kDa,,unknown,8,7,7,13,5,8,0,0
LanC-like protein 2 OS=Homo sapiens GN=LANCL2 PE=1 SV=1,Q9NS86,51 kDa,,unknown,5,6,9,15,9,11,0,0
26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens GN=PSMD13 PE=1 SV=2,Q9UNM6,43 kDa,,unknown,0,12,19,25,0,2,0,0
Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1,P61163,43 kDa,,unknown,0,12,17,21,0,1,0,0
Neutral cholesterol ester hydrolase 1 OS=Homo sapiens GN=NCEH1 PE=1 SV=3,Q6PIU2,46 kDa,,unknown,3,11,11,14,5,8,0,0
Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens GN=TMED9 PE=1 SV=2,Q9BVK6,27 kDa,TRUE,unknown,16,12,8,7,10,8,0,0
Platelet factor 4 OS=Homo sapiens GN=PF4 PE=1 SV=2,P02776,11 kDa,,unknown,11,8,11,5,8,5,6,8
